"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"chr8-126953902-126955275",3.24047549030516e-90,0.525241297303601,0.326,0.032,2.8373927440661e-85,"Memory CD4 T","chr8-126953902-126955275"
"chr19-1029904-1031530",4.16214821150829e-90,0.526719213593628,0.304,0.025,3.64441859547877e-85,"Memory CD4 T","chr19-1029904-1031530"
"chr15-73343635-73345958",4.18613933490928e-90,0.503792513173906,0.406,0.065,3.66542546303992e-85,"Memory CD4 T","chr15-73343635-73345958"
"chr1-60279767-60281364",2.26831693611781e-89,0.509527242547615,0.438,0.074,1.98616099243412e-84,"Memory CD4 T","chr1-60279767-60281364"
"chr22-50232117-50233433",9.95090428075019e-89,0.525586768461151,0.361,0.046,8.71311129726768e-84,"Memory CD4 T","chr22-50232117-50233433"
"chr2-109647372-109649472",1.66398723627721e-87,0.516542200783868,0.38,0.053,1.45700386395669e-82,"Memory CD4 T","chr2-109647372-109649472"
"chr4-153020105-153022608",2.36393017638344e-87,0.517602013934926,0.333,0.036,2.06988090174311e-82,"Memory CD4 T","chr4-153020105-153022608"
"chr14-75715717-75717113",5.56931847435565e-87,0.509548615026172,0.395,0.058,4.87655094933055e-82,"Memory CD4 T","chr14-75715717-75717113"
"chr17-63554700-63558441",9.12545237481119e-87,0.505291608380363,0.393,0.065,7.99033735390842e-82,"Memory CD4 T","chr17-63554700-63558441"
"chr14-23029449-23031757",1.10147694985388e-86,0.521398500211723,0.368,0.045,9.64464232061559e-82,"Memory CD4 T","chr14-23029449-23031757"
"chr20-31559219-31561065",3.40311678073783e-85,0.5144579156362,0.349,0.044,2.97980308438185e-80,"Memory CD4 T","chr20-31559219-31561065"
"chr5-35852138-35855728",1.63130952301236e-84,0.514825111568658,0.337,0.039,1.42839093144485e-79,"Memory CD4 T","chr5-35852138-35855728"
"chr3-13919543-13922707",5.28419363374326e-84,0.516510864468006,0.288,0.026,4.62689278764194e-79,"Memory CD4 T","chr3-13919543-13922707"
"chr11-133814560-133815936",6.71201626804186e-83,0.509062393599436,0.305,0.03,5.87710856446014e-78,"Memory CD4 T","chr11-133814560-133815936"
"chr10-33427686-33428922",9.36225833760325e-82,0.508747630152902,0.274,0.024,8.19768702298878e-77,"Memory CD4 T","chr10-33427686-33428922"
"chr10-8373208-8375139",1.03280442912291e-81,0.514712505367529,0.348,0.042,9.04333886184313e-77,"Memory CD4 T","chr10-8373208-8375139"
"chr11-118212173-118215674",1.11635943172514e-81,0.502667160078931,0.259,0.017,9.77495482012853e-77,"Memory CD4 T","chr11-118212173-118215674"
"chr14-99657060-99665106",1.8552269950437e-81,0.5084651545732,0.273,0.021,1.62445530913021e-76,"Memory CD4 T","chr14-99657060-99665106"
"chr1-115604066-115606465",5.99209722328017e-81,0.501809330256622,0.331,0.045,5.24674024967635e-76,"Memory CD4 T","chr1-115604066-115606465"
"chr19-17112163-17113513",6.10569847422858e-80,0.506000175697254,0.31,0.034,5.34621064101929e-75,"Memory CD4 T","chr19-17112163-17113513"
"chr13-40760808-40762855",3.97034176793125e-76,0.502366491962635,0.262,0.019,3.47647095541828e-71,"Memory CD4 T","chr13-40760808-40762855"
"chr8-144543328-144545258",1.54561866579532e-75,0.500496162122892,0.241,0.016,1.35335915995704e-70,"Memory CD4 T","chr8-144543328-144545258"
"chr2-113581628-113594911",1.03259719980821e-321,0.756999722497549,0.643,0.036,9.04152434124063e-317,"CD14+ Mono","chr2-113581628-113594911"
"chr6-44025105-44028184",3.55620232344641e-279,0.732183069051699,0.593,0.039,3.11384631643291e-274,"CD14+ Mono","chr6-44025105-44028184"
"chr20-48889794-48893313",1.18170157276554e-270,0.735125551203217,0.579,0.036,1.03470971412924e-265,"CD14+ Mono","chr20-48889794-48893313"
"chr9-137263243-137268534",1.36483375130182e-254,0.711957711854095,0.583,0.049,1.19506208097739e-249,"CD14+ Mono","chr9-137263243-137268534"
"chr20-39315151-39319604",1.11813597573952e-230,0.688098208468478,0.562,0.06,9.79051041717278e-226,"CD14+ Mono","chr20-39315151-39319604"
"chr6-41236364-41244047",1.99858753315585e-226,0.702176526847662,0.516,0.033,1.74998322990659e-221,"CD14+ Mono","chr6-41236364-41244047"
"chr17-1477633-1481496",1.73026322592801e-220,0.674907471960243,0.539,0.057,1.51503578325483e-215,"CD14+ Mono","chr17-1477633-1481496"
"chr14-103587259-103591113",4.59401634930402e-219,0.683871937185782,0.521,0.046,4.02256665561409e-214,"CD14+ Mono","chr14-103587259-103591113"
"chr2-47297968-47301173",2.35983832738975e-217,0.664376674615777,0.582,0.082,2.06629803784574e-212,"CD14+ Mono","chr2-47297968-47301173"
"chr14-50504661-50507777",7.00922023479649e-213,0.648946481698438,0.588,0.101,6.13734332979015e-208,"CD14+ Mono","chr14-50504661-50507777"
"chr15-93346770-93347989",1.02342923732505e-206,0.684868834181895,0.468,0.027,8.96124874494184e-202,"CD14+ Mono","chr15-93346770-93347989"
"chr6-44031788-44032972",1.00566444022414e-201,0.687623894812224,0.431,0.015,8.80569840504658e-197,"CD14+ Mono","chr6-44031788-44032972"
"chr9-110247402-110253927",2.04331316817761e-195,0.618687050670565,0.58,0.093,1.78914544318799e-190,"CD14+ Mono","chr9-110247402-110253927"
"chr20-1923912-1928154",7.82661470665687e-194,0.66052690881982,0.457,0.029,6.85306210329582e-189,"CD14+ Mono","chr20-1923912-1928154"
"chr8-142147729-142148773",6.85370848787733e-192,0.667316226857728,0.438,0.024,6.00117568907027e-187,"CD14+ Mono","chr8-142147729-142148773"
"chr2-113596703-113597906",1.41942313005703e-187,0.664445915767675,0.434,0.025,1.24286108690923e-182,"CD14+ Mono","chr2-113596703-113597906"
"chr9-132538947-132540408",2.84303068644435e-185,0.640441091422424,0.487,0.059,2.48938609935754e-180,"CD14+ Mono","chr9-132538947-132540408"
"chr12-54776612-54779626",3.41880746928996e-185,0.644682391840467,0.493,0.054,2.99354200818498e-180,"CD14+ Mono","chr12-54776612-54779626"
"chr19-47891861-47893634",3.55350804882312e-182,0.658945159570079,0.425,0.028,3.11148718263001e-177,"CD14+ Mono","chr19-47891861-47893634"
"chr6-13302527-13304368",1.53031756786621e-180,0.637219960968673,0.502,0.057,1.33996136559933e-175,"CD14+ Mono","chr6-13302527-13304368"
"chr10-125756688-125758053",1.68024629584526e-180,0.660737115904917,0.42,0.023,1.47124045910507e-175,"CD14+ Mono","chr10-125756688-125758053"
"chr17-76194638-76195790",2.66024392717595e-180,0.650929853940026,0.443,0.038,2.32933618507453e-175,"CD14+ Mono","chr17-76194638-76195790"
"chr3-46130424-46132103",4.96257283064953e-180,0.65687411340203,0.434,0.031,4.34527839624503e-175,"CD14+ Mono","chr3-46130424-46132103"
"chr3-72144191-72152092",5.22405698341297e-178,0.557434279441507,0.661,0.172,4.57423653524623e-173,"CD14+ Mono","chr3-72144191-72152092"
"chr14-77234085-77235597",7.08780148459058e-177,0.611282117294462,0.542,0.097,6.20614985792235e-172,"CD14+ Mono","chr14-77234085-77235597"
"chr2-26231433-26232673",7.51072011199404e-175,0.648701769825299,0.404,0.023,6.5764616372631e-170,"CD14+ Mono","chr2-26231433-26232673"
"chr20-30742520-30743854",5.25579759312322e-174,0.644669881774546,0.423,0.034,4.60202893051462e-169,"CD14+ Mono","chr20-30742520-30743854"
"chr9-95873598-95879220",7.07682698723006e-171,0.622466780727853,0.461,0.062,6.19654047828851e-166,"CD14+ Mono","chr9-95873598-95879220"
"chr6-89743184-89746114",5.89046600722262e-169,0.642185617694635,0.385,0.019,5.1577509405842e-164,"CD14+ Mono","chr6-89743184-89746114"
"chr10-73647686-73650520",2.7970374021368e-168,0.592554047913776,0.539,0.101,2.449113919685e-163,"CD14+ Mono","chr10-73647686-73650520"
"chr17-1510080-1511616",3.30337732568453e-165,0.62718958066697,0.445,0.048,2.89247022014263e-160,"CD14+ Mono","chr17-1510080-1511616"
"chr7-111720327-111722552",5.66680167995493e-164,0.634406446287306,0.417,0.033,4.96190821898534e-159,"CD14+ Mono","chr7-111720327-111722552"
"chr18-46422834-46424141",9.54749302357281e-164,0.631958173827012,0.416,0.037,8.35988036637059e-159,"CD14+ Mono","chr18-46422834-46424141"
"chr2-219231835-219237067",2.38710672113584e-163,0.561608463648661,0.571,0.153,2.09017451609375e-158,"CD14+ Mono","chr2-219231835-219237067"
"chr12-121714395-121716919",1.7784107668307e-162,0.627970251578833,0.389,0.025,1.55719425154463e-157,"CD14+ Mono","chr12-121714395-121716919"
"chr15-70799919-70802396",4.9667454584657e-162,0.621505454573586,0.41,0.04,4.34893199088716e-157,"CD14+ Mono","chr15-70799919-70802396"
"chr16-8725893-8727374",5.4670313236288e-161,0.626492957127138,0.39,0.023,4.78698729728262e-156,"CD14+ Mono","chr16-8725893-8727374"
"chr22-39347603-39350736",2.62186688648212e-160,0.63126679073955,0.406,0.034,2.29573286447261e-155,"CD14+ Mono","chr22-39347603-39350736"
"chr6-146864173-146865921",3.57090944598587e-160,0.633699776251323,0.406,0.033,3.12672401999969e-155,"CD14+ Mono","chr6-146864173-146865921"
"chr16-72235976-72237998",1.11466228740447e-159,0.630608528523235,0.39,0.027,9.76009445474226e-155,"CD14+ Mono","chr16-72235976-72237998"
"chr1-28189311-28191349",1.16195992318431e-157,0.616949556849532,0.425,0.044,1.01742372833941e-152,"CD14+ Mono","chr1-28189311-28191349"
"chr17-76588084-76589307",3.76961126427269e-157,0.63164369693355,0.364,0.017,3.30070931910981e-152,"CD14+ Mono","chr17-76588084-76589307"
"chr1-212658117-212660126",1.68107507360908e-155,0.629440007167708,0.363,0.02,1.47196614520284e-150,"CD14+ Mono","chr1-212658117-212660126"
"chr10-30782177-30783879",8.33501253693332e-155,0.618014467603693,0.402,0.04,7.29822032746419e-150,"CD14+ Mono","chr10-30782177-30783879"
"chr19-2167357-2169655",9.62470973046209e-155,0.5831386715805,0.486,0.089,8.42749208708991e-150,"CD14+ Mono","chr19-2167357-2169655"
"chr10-45874585-45876944",4.86812598394099e-154,0.620608663115265,0.389,0.027,4.26257979279857e-149,"CD14+ Mono","chr10-45874585-45876944"
"chr20-30621435-30624931",6.74044340369986e-154,0.620752602249796,0.382,0.027,5.90199964871363e-149,"CD14+ Mono","chr20-30621435-30624931"
"chr6-35337685-35339386",2.01816292416022e-153,0.610951683742235,0.388,0.037,1.76712363802393e-148,"CD14+ Mono","chr6-35337685-35339386"
"chr15-75334903-75336779",1.66599124936463e-152,0.540057800078901,0.582,0.161,1.45875859785616e-147,"CD14+ Mono","chr15-75334903-75336779"
"chr6-36258272-36259619",7.6602504392746e-152,0.621859339918878,0.359,0.019,6.70739188713323e-147,"CD14+ Mono","chr6-36258272-36259619"
"chr5-134791603-134793593",1.66843027532784e-151,0.612790460623795,0.386,0.03,1.46089423337981e-146,"CD14+ Mono","chr5-134791603-134793593"
"chr3-10215032-10216277",2.22372878562568e-151,0.616717791710643,0.378,0.026,1.9471191619817e-146,"CD14+ Mono","chr3-10215032-10216277"
"chr17-1489997-1491088",2.75576849141499e-151,0.620641201097755,0.351,0.017,2.41297844876788e-146,"CD14+ Mono","chr17-1489997-1491088"
"chr7-101360355-101362117",9.50597242131211e-151,0.612112513210926,0.382,0.03,8.32352451182509e-146,"CD14+ Mono","chr7-101360355-101362117"
"chr14-103584272-103586004",4.53767938253825e-149,0.619807843919408,0.36,0.023,3.97323744414431e-144,"CD14+ Mono","chr14-103584272-103586004"
"chr12-124864391-124867059",9.47393629331746e-149,0.613590835103816,0.351,0.02,8.2954733577917e-144,"CD14+ Mono","chr12-124864391-124867059"
"chr7-155382817-155383986",3.97066181913197e-147,0.620521221089231,0.339,0.013,3.47675119545014e-142,"CD14+ Mono","chr7-155382817-155383986"
"chr16-31139697-31142282",4.90998835920379e-147,0.605542323842412,0.37,0.029,4.29923490720243e-142,"CD14+ Mono","chr16-31139697-31142282"
"chr19-14895397-14897520",3.12645229479448e-146,0.610047240342554,0.382,0.033,2.73755289384499e-141,"CD14+ Mono","chr19-14895397-14897520"
"chr17-76438280-76439602",6.50259648953576e-146,0.606300650950763,0.391,0.037,5.6937385122024e-141,"CD14+ Mono","chr17-76438280-76439602"
"chr20-35898020-35899874",1.38186434844678e-145,0.601627609433439,0.394,0.042,1.20997424214348e-140,"CD14+ Mono","chr20-35898020-35899874"
"chr7-75246625-75248014",1.00168648958432e-144,0.578072971742101,0.46,0.08,8.77086707144928e-140,"CD14+ Mono","chr7-75246625-75248014"
"chr4-154572183-154574151",1.07588683882092e-143,0.607663792779231,0.359,0.026,9.42057274939985e-139,"CD14+ Mono","chr4-154572183-154574151"
"chr20-39126346-39127698",1.40511875677111e-143,0.609164830591496,0.345,0.018,1.23033603461635e-138,"CD14+ Mono","chr20-39126346-39127698"
"chr6-41253876-41255177",1.60222213930987e-143,0.614292579355465,0.337,0.017,1.40292172740112e-138,"CD14+ Mono","chr6-41253876-41255177"
"chr2-143630766-143632527",4.03338423471444e-143,0.606081695153967,0.355,0.023,3.53167156975831e-138,"CD14+ Mono","chr2-143630766-143632527"
"chr11-60718473-60722411",1.09326616498292e-141,0.528739475293768,0.556,0.147,9.57274786720695e-137,"CD14+ Mono","chr11-60718473-60722411"
"chr7-99969417-99972320",1.43417995785319e-141,0.600889722808723,0.369,0.036,1.25578231289583e-136,"CD14+ Mono","chr7-99969417-99972320"
"chr1-182118095-182119228",6.04138532199304e-141,0.605736584487883,0.339,0.017,5.28989740179033e-136,"CD14+ Mono","chr1-182118095-182119228"
"chr6-14921145-14923608",1.93306527270087e-140,0.599814733454136,0.339,0.019,1.69261128342961e-135,"CD14+ Mono","chr6-14921145-14923608"
"chr9-90407401-90408791",4.85178129117368e-140,0.611135297134231,0.356,0.026,4.24826821636458e-135,"CD14+ Mono","chr9-90407401-90408791"
"chr8-59308870-59310848",1.56946211088432e-139,0.602083238863835,0.328,0.017,1.37423671891142e-134,"CD14+ Mono","chr8-59308870-59310848"
"chr5-17118484-17119520",1.65064491914634e-139,0.606538625688483,0.339,0.015,1.44532119765373e-134,"CD14+ Mono","chr5-17118484-17119520"
"chr12-98831549-98834443",9.22622702065396e-139,0.599527559436626,0.339,0.02,8.07857664155481e-134,"CD14+ Mono","chr12-98831549-98834443"
"chr7-6462656-6464963",1.00417780126757e-138,0.598235364761772,0.346,0.021,8.79268124567899e-134,"CD14+ Mono","chr7-6462656-6464963"
"chr2-28938870-28940831",1.93164129606756e-138,0.593599372046968,0.353,0.023,1.69136443524971e-133,"CD14+ Mono","chr2-28938870-28940831"
"chr10-20292287-20293691",5.16298360223124e-138,0.597397098209785,0.351,0.024,4.5207600719497e-133,"CD14+ Mono","chr10-20292287-20293691"
"chr12-110265561-110266796",6.73302679587251e-138,0.599750181447029,0.335,0.021,5.89550559273392e-133,"CD14+ Mono","chr12-110265561-110266796"
"chr8-103990399-103992416",8.25744618079444e-138,0.594055820018287,0.358,0.029,7.23030245036542e-133,"CD14+ Mono","chr8-103990399-103992416"
"chr9-136720475-136721840",1.03811168541928e-137,0.602243516084893,0.341,0.021,9.0898097286998e-133,"CD14+ Mono","chr9-136720475-136721840"
"chr11-65057763-65060702",1.07480671567246e-137,0.598797916830118,0.327,0.017,9.41111508309959e-133,"CD14+ Mono","chr11-65057763-65060702"
"chr1-145113970-145117058",1.3668618383409e-137,0.586163804539956,0.339,0.023,1.19683789426967e-132,"CD14+ Mono","chr1-145113970-145117058"
"chr9-296684-298189",5.51985325523936e-137,0.59092484013028,0.387,0.04,4.83323870882014e-132,"CD14+ Mono","chr9-296684-298189"
"chr19-35938350-35940618",8.21579672344176e-137,0.601390092470004,0.345,0.021,7.19383376901284e-132,"CD14+ Mono","chr19-35938350-35940618"
"chr5-172313749-172315227",8.44393086149555e-137,0.59764867051753,0.325,0.017,7.39359030163412e-132,"CD14+ Mono","chr5-172313749-172315227"
"chr7-90892736-90895218",1.93287962181091e-136,0.576847820919493,0.406,0.05,1.69244872565385e-131,"CD14+ Mono","chr7-90892736-90895218"
"chr5-172226843-172227916",2.30035862090092e-136,0.594529594292435,0.336,0.023,2.01421701204706e-131,"CD14+ Mono","chr5-172226843-172227916"
"chr3-46446452-46449329",6.40967086120423e-135,0.560294525442648,0.438,0.081,5.61237190277904e-130,"CD14+ Mono","chr3-46446452-46449329"
"chr2-237779818-237781072",2.41482748262792e-134,0.593819742849038,0.315,0.015,2.11444709206384e-129,"CD14+ Mono","chr2-237779818-237781072"
"chr12-89554094-89557144",5.16779558909943e-134,0.586842031787354,0.387,0.041,4.52497349577135e-129,"CD14+ Mono","chr12-89554094-89557144"
"chr4-40577885-40580025",6.57455061139093e-134,0.584956726298741,0.37,0.039,5.75674226084001e-129,"CD14+ Mono","chr4-40577885-40580025"
"chr8-134931368-134932318",1.98681225028643e-133,0.599354616805592,0.315,0.016,1.7396726744733e-128,"CD14+ Mono","chr8-134931368-134932318"
"chr22-47149658-47150840",7.50523518428897e-133,0.589087473203066,0.37,0.038,6.57165897971527e-128,"CD14+ Mono","chr22-47149658-47150840"
"chr10-134822380-134824354",1.09487119924079e-132,0.584461431512694,0.355,0.03,9.58680170767226e-128,"CD14+ Mono","chr10-134822380-134824354"
"chr22-30666494-30667566",1.24499587957001e-132,0.588287098368373,0.334,0.021,1.0901308421103e-127,"CD14+ Mono","chr22-30666494-30667566"
"chr1-183559003-183560563",1.3528126092783e-132,0.574615720758768,0.412,0.057,1.18453624881018e-127,"CD14+ Mono","chr1-183559003-183560563"
"chr17-76878569-76880355",3.88473402633537e-132,0.58858191966408,0.364,0.04,3.40151196079951e-127,"CD14+ Mono","chr17-76878569-76880355"
"chr5-82766816-82770752",3.13680810265391e-131,0.577451010413431,0.386,0.044,2.74662054276479e-126,"CD14+ Mono","chr5-82766816-82770752"
"chr15-45740039-45741138",6.81484407916606e-130,0.595443212676377,0.309,0.017,5.96714562415859e-125,"CD14+ Mono","chr15-45740039-45741138"
"chr1-201682331-201685665",1.53672975024373e-129,0.585593746858479,0.355,0.034,1.34557593661091e-124,"CD14+ Mono","chr1-201682331-201685665"
"chr20-1469936-1473297",5.94898133254764e-129,0.577495010063656,0.329,0.024,5.20898754459204e-124,"CD14+ Mono","chr20-1469936-1473297"
"chr15-65174077-65176892",2.59360785999176e-128,0.541276658001308,0.465,0.112,2.27098897828739e-123,"CD14+ Mono","chr15-65174077-65176892"
"chr19-6056694-6057991",5.15450029580912e-128,0.581568871764063,0.317,0.019,4.51333200401342e-123,"CD14+ Mono","chr19-6056694-6057991"
"chr16-84839550-84840629",6.10998995052464e-128,0.585440221756938,0.323,0.021,5.34996830057888e-123,"CD14+ Mono","chr16-84839550-84840629"
"chr22-29706517-29707811",8.1979533468423e-128,0.582573847767775,0.337,0.027,7.17820993002858e-123,"CD14+ Mono","chr22-29706517-29707811"
"chr5-176934252-176938550",9.67089622698068e-128,0.556644861912543,0.425,0.07,8.46793344530655e-123,"CD14+ Mono","chr5-176934252-176938550"
"chr5-169734334-169736121",1.84583421115725e-127,0.580863438108616,0.325,0.024,1.6162308936314e-122,"CD14+ Mono","chr5-169734334-169736121"
"chr20-39134911-39135827",2.32357959779404e-127,0.583851914195149,0.309,0.017,2.03454953162444e-122,"CD14+ Mono","chr20-39134911-39135827"
"chr12-116989457-116990640",3.87345554631389e-127,0.582412197618458,0.302,0.015,3.3916364109079e-122,"CD14+ Mono","chr12-116989457-116990640"
"chr5-1479440-1482319",3.9923655637304e-127,0.554594763307072,0.408,0.064,3.49575521125797e-122,"CD14+ Mono","chr5-1479440-1482319"
"chr20-36796242-36797862",5.48360155629786e-126,0.577682456693345,0.306,0.016,4.80149635870997e-121,"CD14+ Mono","chr20-36796242-36797862"
"chr20-46368843-46370190",1.01060208005667e-125,0.580659122341537,0.317,0.019,8.84893287318424e-121,"CD14+ Mono","chr20-46368843-46370190"
"chr12-121581377-121583817",5.32638629843655e-125,0.576324397240415,0.323,0.021,4.66383710677403e-120,"CD14+ Mono","chr12-121581377-121583817"
"chr10-81052516-81054494",6.89905257318205e-125,0.575362980904965,0.332,0.029,6.04087942360393e-120,"CD14+ Mono","chr10-81052516-81054494"
"chr2-240386446-240387953",6.99326768935759e-125,0.583967167861583,0.314,0.02,6.1233751214784e-120,"CD14+ Mono","chr2-240386446-240387953"
"chr12-132344930-132346114",1.06075642665435e-124,0.587939433714936,0.309,0.019,9.28808934742813e-120,"CD14+ Mono","chr12-132344930-132346114"
"chr22-44463860-44465288",1.67787378500976e-124,0.558198298837532,0.414,0.067,1.4691630648924e-119,"CD14+ Mono","chr22-44463860-44465288"
"chr7-73001693-73002742",5.32312518026957e-124,0.566736047870565,0.365,0.048,4.66098163909584e-119,"CD14+ Mono","chr7-73001693-73002742"
"chr3-131079773-131081385",1.05967451101878e-123,0.575502084607103,0.354,0.036,9.27861598593152e-119,"CD14+ Mono","chr3-131079773-131081385"
"chr1-235110750-235117254",1.43341038157808e-123,0.50286910153551,0.525,0.141,1.25510846421358e-118,"CD14+ Mono","chr1-235110750-235117254"
"chr22-46391888-46394121",1.58603450477784e-123,0.574968319149761,0.343,0.036,1.38874767272852e-118,"CD14+ Mono","chr22-46391888-46394121"
"chr1-233248430-233251100",1.71903742618956e-123,0.57884223791796,0.306,0.018,1.50520636074584e-118,"CD14+ Mono","chr1-233248430-233251100"
